animal
baboon
bat
bee
bird
bumblebee
cangaroo
cat
cattle
chimpanzee
dog
dolphin
eagle
fish
fly
fruitfly
goat
gorilla
hamster
horse
human
macaque
mosquito
mouse
pig
pigeon
rat
roe
seagull
shark
sheep
sparrow
stork
swallow
tadpole
termite
tick
whale
zebrafish
