Term IRI	Term label	Parent term IRI	Parent term label	Alternative term	Definition
http://purl.obolibrary.org/obo/ENVO_03501173	post-anesthesia care unit facility	http://purl.obolibrary.org/obo/ENVO_03501137	hospital unit facility		A hospital unit facility which is used to provide care for patients recovering from anesthesia.
http://purl.obolibrary.org/obo/ENVO_03501174	high dependency unit facility	http://purl.obolibrary.org/obo/ENVO_03501137	hospital unit facility		A hospital unit facility which is used to provide high dependency care.
http://purl.obolibrary.org/obo/ENVO_03501175	psychiatric unit facility	http://purl.obolibrary.org/obo/ENVO_03501137	hospital unit facility		A hospital unit facility which is used to provide psychiatric medicine.
http://purl.obolibrary.org/obo/ENVO_03501176	psychiatric intensive care unit facility	http://purl.obolibrary.org/obo/ENVO_03501152	intensive care unit facility		A hospital unit facility which is used to provide  intensive psychiatric care.
http://purl.obolibrary.org/obo/ENVO_03501181	tertiary referral hospital	http://purl.obolibrary.org/obo/ENVO_00002173	hospital		A hospital which is used to provide tertiary care.
http://purl.obolibrary.org/obo/ENVO_03501182	clinic	http://purl.obolibrary.org/obo/ENVO_03501288	facility		A facility which is used to provide treatment, remedial work, and/or instruction.
http://purl.obolibrary.org/obo/ENVO_03501183	medical clinic	http://purl.obolibrary.org/obo/ENVO_03501134	healthcare facility		A healthcare facility which is used to provide outpatient health care services.
http://purl.obolibrary.org/obo/ENVO_03501190	pain clinic	http://purl.obolibrary.org/obo/ENVO_03501183	medical clinic		A medical clinic which is used to provide pain management services.
http://purl.obolibrary.org/obo/ENVO_03501195	assisted living facility	http://purl.obolibrary.org/obo/ENVO_03501194	long-term care facility		A long-term care facility which is used to provide care for people with disabilities or for adults who cannot or who choose not to live independently.
http://purl.obolibrary.org/obo/ENVO_03501197	institutional building	http://purl.obolibrary.org/obo/ENVO_00000073	building		A building which is used by an organization which serves a long-established role in human society.
http://purl.obolibrary.org/obo/ENVO_03501199	dry market	http://purl.obolibrary.org/obo/ENVO_01000987	market		A market which is used for the sale and purchase of durable goods.
http://purl.obolibrary.org/obo/ENVO_03501200	police station	http://purl.obolibrary.org/obo/ENVO_03501197	institutional building		An institutional building which is used to provide policing services.
http://purl.obolibrary.org/obo/ENVO_03501201	polling place	http://purl.obolibrary.org/obo/ENVO_00000070	human construction		A human construction which contains one or more polling stations
http://purl.obolibrary.org/obo/ENVO_03501202	polling station	http://purl.obolibrary.org/obo/ENVO_00000070	human construction		A human construction which is that part of a polling place where voters cast their ballot
http://purl.obolibrary.org/obo/ENVO_03501203	polling booth	http://purl.obolibrary.org/obo/ENVO_03501309	booth		A booth which enables a voter to vote confidentially.
http://purl.obolibrary.org/obo/ENVO_03501205	private prison	http://purl.obolibrary.org/obo/ENVO_03501204	prison facility		A prison facility which is owned and operated by a private corporation.
