Term IRI	Term label	Parent term IRI	Parent term label	Alternative term	Definition
http://purl.obolibrary.org/obo/ENVO_01001050	saline sediment environment	http://purl.obolibrary.org/obo/ENVO_01001048	sediment environment	Sediment (saline)	An environmental system which has its properties and dynamics determined by sediment permeated by saline water.
http://purl.obolibrary.org/obo/ENVO_01000887	area of sedge- and forb-dominated herbaceous vegetation	http://purl.obolibrary.org/obo/ENVO_01001305	vegetated area	sedge/herbaceous	An area of a planet's surface which is primarily covered by sedges or forbs, possibly interpersed with grasses or grass-like plants. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.
http://purl.obolibrary.org/obo/FOODON_03460263	vegetable fat or oil	http://purl.obolibrary.org/obo/FOODON_00001174	plant lipid food product	vegetable fat or oil added	A fat or oil derived from vegetable material
http://purl.obolibrary.org/obo/ENVO_01001365	atmospheric secondary aerosol formation process	http://purl.obolibrary.org/obo/ENVO_01001368	secondary aerosol formation process	formation of liquid or solid particles from gaseous material in an atmosphere	A process during which gas-phase molecules form solid or liquid particles that are stable enough to continue growing in size - via the condensation or aggregation of other gas-phase molecules - at a greater rate than their constituents re-enter gas phase.
http://purl.obolibrary.org/obo/ENVO_01001035	environment determined by a biofilm on a fungal surface	http://purl.obolibrary.org/obo/ENVO_01001110	ecosystem	Fungus surface	An environmental system which has its properties and dynamics determined by a biofilm on the surface of a fungus.
http://purl.obolibrary.org/obo/ENVO_01001034	environment determined by a biofilm on an animal surface	http://purl.obolibrary.org/obo/ENVO_01001110	ecosystem	Animal surface	An environmental system which has its properties and dynamics determined by a biofilm on the surface of a animal.
http://purl.obolibrary.org/obo/ENVO_01000999	rhizosphere environment	http://purl.obolibrary.org/obo/ENVO_01000254	environmental system	Plant rhizosphere	An environmental system determined by the presence of a plant rhizosphere.
http://purl.obolibrary.org/obo/ENVO_01000306	freshwater environment	http://purl.obolibrary.org/obo/ENVO_01000317	aquatic environment	Water (non-saline)	An aquatic environment which is determined by freshwater.
http://purl.obolibrary.org/obo/ENVO_01000307	saline water environment	http://purl.obolibrary.org/obo/ENVO_01001040	saline environment	Water (saline)	An environmental system which has its properties and dynamics determined by saline water.
http://purl.obolibrary.org/obo/ENVO_01000778	key biodiversity area	http://purl.obolibrary.org/obo/ENVO_00000358	area of protected biodiversity	important site	An environmental zone which contains, as determined by an officially mandated selection process, one or more ecosystems which include, as parts, ecological communities of global significance for conservation due to their vulnerability and irreplaceability.
http://purl.obolibrary.org/obo/FOODON_00001002	food product	http://purl.obolibrary.org/obo/FOODON_00002403	food material	Foodon product type	Food material for humans and animals which is processed with the intention that it be consumable as a whole or added to other food products.
http://purl.obolibrary.org/obo/ENVO_01001169	area protected according to IUCN guidelines	http://purl.obolibrary.org/obo/ENVO_00000358	area of protected biodiversity	IUCN protected area	A protected area in which management objectives have been declared, by a local governing body or authority, to adhere to the guidelines set forth by the International Union for the Conservation of Nature (IUCN).
http://purl.obolibrary.org/obo/ENVO_01000914	ice ablation zone	http://purl.obolibrary.org/obo/ENVO_01001351	ice decumulation zone		An environmental zone which overlaps a glacier or an ice sheet, and in which ice loss exceeds ice gain.
http://purl.obolibrary.org/obo/ENVO_01000939	time crystal	http://purl.obolibrary.org/obo/ENVO_00010483	environmental material		An open system in non-equilibrium with its environment that exhibits time translation symmetry breaking.
http://purl.obolibrary.org/obo/UBERON_0036244	secretion of serous membrane	http://purl.obolibrary.org/obo/UBERON_0007779	transudate		A transudate found in the serous sac.
http://purl.obolibrary.org/obo/ENVO_01001192	sediment surface	http://purl.obolibrary.org/obo/ENVO_00010504	surface layer		The surface layer of a mass of sediment.
http://purl.obolibrary.org/obo/ENVO_01001482	tornado	http://purl.obolibrary.org/obo/ENVO_01000755	aeroform		A tornado is an aeroform consisting of at least one rapidly rotating column of air that is in contact with both the surface of an astronomical body and pendant from within or beneath a cumulonimbus or cumulus cloud.
http://purl.obolibrary.org/obo/ENVO_01001440	coal mining	http://purl.obolibrary.org/obo/ENVO_01001437	mining		A mining process during which coal is extracted from the rocky portion of an astronomical body.
http://purl.obolibrary.org/obo/ENVO_01001432	forestry	http://purl.obolibrary.org/obo/ENVO_01001431	land use process		A land use process during which humans access and manage forest ecosystems for 1) the provisioning of wood, forages, water, wildlife, and recreation as well as a broad range of other ecosystem services or 2) the maintenance of the forest ecosystem's health.
