Agreement biome (exact match),biome_exact_match_mean,biome_exact_match_sd,Agreement biome (lenient match),biome_lenient_match_mean,biome_lenient_match_sd,sample_size,Filename,Average Similarity,Median Similarity,Standard Deviation,subbiome_sample_size,95th Percentile,MWU Statistic,MWU P-value,Label
"80.16%
(n=499)",80.16,40.0,"80.16%
(n=499)",80.16,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API500_timeMon1100CEST_dt202407291058.txt,0.5,0.47,0.23,436.0,[0.31 0.47 0.66],162490.5,0.0,sync_inl_rs22_rep3
"80.76%
(n=499)",80.76,39.0,"80.76%
(n=499)",80.76,39.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API500_timeMon1600CEST_dt202407291559.txt,0.5,0.46,0.24,438.0,[0.31 0.46 0.66],163858.0,0.0,sync_inl_rs22_rep4
"80.76%
(n=499)",80.76,39.0,"80.76%
(n=499)",80.76,39.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API499_timeTue1100CEST_dt202407301104.txt,0.49,0.46,0.24,437.0,[0.3  0.46 0.67],160921.5,0.0,sync_inl_rs22_rep5
"79.96%
(n=499)",79.96,40.0,"79.96%
(n=499)",79.96,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API500_timeTue1100CESTrep_dt202407301116.txt,0.49,0.46,0.23,448.0,[0.3  0.46 0.64],171140.0,0.0,sync_inl_rs22_rep6
"79.96%
(n=499)",79.96,40.0,"79.96%
(n=499)",79.96,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API499_timeTue1600CEST_dt202407301558.txt,0.5,0.47,0.24,435.0,[0.31 0.47 0.66],163448.5,0.0,sync_inl_rs22_rep7
"80.16%
(n=499)",80.16,40.0,"80.16%
(n=499)",80.16,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API499_timeTue1600CESTrep_dt202407301622.txt,0.49,0.46,0.24,437.0,[0.3  0.46 0.64],163901.5,0.0,sync_inl_rs22_rep8
"79.96%
(n=499)",79.96,40.0,"79.96%
(n=499)",79.96,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API499_timeTue1800CEST_dt202407301757.txt,0.49,0.47,0.23,437.0,[0.3  0.47 0.65],164652.5,0.0,sync_inl_rs22_rep9
"79.32%
(n=498)",79.32,41.0,"79.92%
(n=498)",79.92,40.0,498.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs32_API118_normal_dt202406051533.txt,0.51,0.49,0.25,466.0,[0.3  0.49 0.69],186500.5,0.0,sync_inl_rs32
"78.71%
(n=498)",78.71,41.0,"79.52%
(n=498)",79.52,40.0,498.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs32_API120_repeat_dt202406061258.txt,0.53,0.5,0.25,469.0,[0.34 0.5  0.71],194712.0,0.0,sync_inl_rs32_rep
"81.16%
(n=499)",81.16,39.0,"81.76%
(n=499)",81.76,39.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs42_API109_normal_dt202406051527.txt,0.52,0.49,0.25,452.0,[0.31 0.49 0.71],177494.5,0.0,sync_inl_rs42
"81.36%
(n=499)",81.36,39.0,"81.56%
(n=499)",81.56,39.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs42_API110_repeat_dt202406061252.txt,0.5,0.47,0.25,465.0,[0.29 0.47 0.69],184269.0,0.0,sync_inl_rs42_rep
,,,,,,,,,,,,,,,
"82.2%
(n=500)",82.2,38.0,"82.2%
(n=500)",82.2,38.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch3UrsPni6Ue63YXRYwisZ5Ygz_dt202407311542.csv,0.56,0.55,0.24,497.0,[0.38 0.55 0.73],220551.5,0.0,async_js_rs22_rep1
"82.6%
(n=500)",82.6,38.0,"82.6%
(n=500)",82.6,38.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batchkeK2m8Hncyy2FaWDAJwvDyn3_dt202407311543.csv,0.57,0.55,0.24,495.0,[0.39 0.55 0.74],219601.5,0.0,async_js_rs22_rep10
"82.2%
(n=500)",82.2,38.0,"82.2%
(n=500)",82.2,38.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batchkxeRGfXerVFAPjV6LvHDMDmu_dt202407311542.csv,0.57,0.56,0.24,495.0,[0.38 0.56 0.74],219266.5,0.0,async_js_rs22_rep11
"81.8%
(n=500)",81.8,39.0,"81.8%
(n=500)",81.8,39.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch4V631Bmz2q8THhl5vWhjN7xL_dt202407311543.csv,0.57,0.56,0.24,496.0,[0.39 0.56 0.74],219878.5,0.0,async_js_rs22_rep2
"83.0%
(n=500)",83.0,38.0,"83.0%
(n=500)",83.0,38.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch9Kxb9CgSKO4Jrc4nHeNXjIlL_dt202407311542.csv,0.57,0.57,0.24,496.0,[0.38 0.57 0.74],218535.0,0.0,async_js_rs22_rep3
"81.8%
(n=500)",81.8,39.0,"81.8%
(n=500)",81.8,39.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batchCIMrqld1ZrfyF7qtmkdMHt7V_dt202407311541.csv,0.58,0.57,0.25,497.0,[0.37 0.57 0.75],220753.5,0.0,async_js_rs22_rep4
"83.2%
(n=500)",83.2,37.0,"83.2%
(n=500)",83.2,37.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batchWLGIEwamUdCiNXmuJ8ecDIiZ_dt202407311542.csv,0.56,0.55,0.24,495.0,[0.39 0.55 0.73],219387.5,0.0,async_js_rs22_rep5
"81.8%
(n=500)",81.8,39.0,"81.8%
(n=500)",81.8,39.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batchWXV7DhkQXGAU3ieCwTOvVkrJ_dt202407311542.csv,0.56,0.55,0.24,496.0,[0.38 0.55 0.73],219339.0,0.0,async_js_rs22_rep6
"82.6%
(n=500)",82.6,38.0,"82.6%
(n=500)",82.6,38.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batchYBPAJfHUxVnBm9YVywZL5wUc_dt202407311543.csv,0.57,0.55,0.24,495.0,[0.4  0.55 0.74],221222.5,0.0,async_js_rs22_rep7
"82.4%
(n=500)",82.4,38.0,"82.4%
(n=500)",82.4,38.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batchbYb8LE5CosmqIJqySwqu6wyx_dt202407311543.csv,0.58,0.57,0.24,497.0,[0.4  0.57 0.74],222227.0,0.0,async_js_rs22_rep8
"82.8%
(n=500)",82.8,38.0,"82.8%
(n=500)",82.8,38.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batchkJkjHPS0P9LlbDlUOfaXwotC_dt202407311543.csv,0.57,0.55,0.24,496.0,[0.37 0.55 0.74],219940.5,0.0,async_js_rs22_rep9
"82.8%
(n=250)",82.8,38.0,"82.8%
(n=250)",82.8,38.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs55_batch3o0hNkYn3qMIb6H3Eqa7ZVpr_dt202407231432.csv,0.58,0.56,0.25,246.0,[0.41 0.56 0.77],54861.0,0.0,async_js_rs55
"83.6%
(n=250)",83.6,37.0,"83.6%
(n=250)",83.6,37.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs55_batchn8C5mQeif6OV1LBhJ5fPd2jt_dt202407231425.csv,0.6,0.58,0.25,247.0,[0.43 0.58 0.77],56355.5,0.0,async_js_rs55_rep
"84.0%
(n=250)",84.0,37.0,"84.0%
(n=250)",84.0,37.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs66_batchZk8tZDOF5WsrqcAvYPewbLtS_dt202407231432.csv,0.58,0.58,0.24,247.0,[0.4  0.58 0.77],54916.0,0.0,async_js_rs66
"83.2%
(n=250)",83.2,37.0,"83.2%
(n=250)",83.2,37.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs66_batchluBKAqRedUv3mOgkmjcJ6Ebq_dt202407231426.csv,0.57,0.55,0.25,246.0,[0.38 0.55 0.77],53996.0,0.0,async_js_rs66_rep
"82.4%
(n=250)",82.4,38.0,"82.4%
(n=250)",82.4,38.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs77_batch8yuPSurBvuXCp8m7AAzpOYMZ_dt202407231427.csv,0.59,0.59,0.26,244.0,[0.36 0.59 0.8 ],53257.0,0.0,async_js_rs77
"82.4%
(n=250)",82.4,38.0,"82.4%
(n=250)",82.4,38.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs77_batchl8fGIwSNBj0DXJfBHtArnz8n_dt202407231432.csv,0.58,0.6,0.26,247.0,[0.37 0.6  0.78],54251.0,0.0,async_js_rs77_rep
"82.0%
(n=250)",82.0,38.0,"82.0%
(n=250)",82.0,38.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs88_batchNZrsNsi10rMTWPyZUocTHv6r_dt202407231427.csv,0.6,0.61,0.26,247.0,[0.38 0.61 0.81],54656.5,0.0,async_js_rs88
"80.8%
(n=250)",80.8,39.0,"80.8%
(n=250)",80.8,39.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs88_batchVuGTjZgtQSotdEoAWrBVk3cd_dt202407231433.csv,0.6,0.59,0.25,244.0,[0.4  0.59 0.78],53899.0,0.0,async_js_rs88_rep
"84.4%
(n=250)",84.4,36.0,"84.4%
(n=250)",84.4,36.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs99_batchFH19lIBQYqjKQ0shEGRVpqhi_dt202407231427.csv,0.58,0.55,0.25,248.0,[0.4  0.55 0.77],55515.5,0.0,async_js_rs99
"83.6%
(n=250)",83.6,37.0,"83.6%
(n=250)",83.6,37.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs99_batchFZgD75ev26VujM8LYnIt8pFg_dt202407231433.csv,0.59,0.6,0.25,247.0,[0.4  0.6  0.77],55426.0,0.0,async_js_rs99_rep
,,,,,,,,,,,,,,,
"81.6%
(n=250)",81.6,39.0,"81.6%
(n=250)",81.6,39.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch670e493dbacc8190a39bd001c1f72d6b_dt202410151251.csv,0.6,0.61,0.26,247.0,[0.4  0.61 0.76],55074.0,0.0,async_js
"79.2%
(n=250)",79.2,41.0,"79.2%
(n=250)",79.2,41.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch670e49446d888190a86e428fb46406c5_dt202410151251.csv,0.59,0.58,0.25,248.0,[0.4  0.58 0.76],55557.5,0.0,async_js_rep1
"81.2%
(n=250)",81.2,39.0,"81.2%
(n=250)",81.2,39.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch670e4949656881908d97b5142449b51f_dt202410151251.csv,0.6,0.6,0.26,246.0,[0.39 0.6  0.79],54611.0,0.0,async_js_rep2
"80.8%
(n=250)",80.8,39.0,"80.8%
(n=250)",80.8,39.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch670e494e783081909e34f78775804f08_dt202410151251.csv,0.61,0.62,0.26,247.0,[0.41 0.62 0.79],55094.0,0.0,async_js_rep3
"80.0%
(n=250)",80.0,40.0,"80.0%
(n=250)",80.0,40.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch670e49543298819085d1b0b2325ca876_dt202410151252.csv,0.6,0.61,0.25,245.0,[0.41 0.61 0.77],54355.0,0.0,async_js_rep4
"81.2%
(n=250)",81.2,39.0,"81.2%
(n=250)",81.2,39.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch670e4bc1b1cc8190a3eeff102b680361_dt202410151302.csv,0.59,0.58,0.26,248.0,[0.39 0.58 0.79],55362.5,0.0,async_js_rep5
"81.2%
(n=250)",81.2,39.0,"81.2%
(n=250)",81.2,39.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API250_normal_dt202410151053.txt,0.61,0.62,0.25,245.0,[0.41 0.62 0.79],54381.0,0.0,sync_js
"80.8%
(n=250)",80.8,39.0,"80.8%
(n=250)",80.8,39.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API250_rep1_dt202410151059.txt,0.61,0.6,0.25,244.0,[0.42 0.6  0.79],53334.0,0.0,sync_js_rep1
"80.8%
(n=250)",80.8,39.0,"80.8%
(n=250)",80.8,39.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API250_rep2_dt202410151106.txt,0.6,0.61,0.25,245.0,[0.41 0.61 0.78],54683.5,0.0,sync_js_rep2
"80.4%
(n=250)",80.4,40.0,"80.4%
(n=250)",80.4,40.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API250_rep3_dt202410151112.txt,0.6,0.61,0.25,244.0,[0.42 0.61 0.76],53462.5,0.0,sync_js_rep3
"81.2%
(n=250)",81.2,39.0,"81.2%
(n=250)",81.2,39.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API250_rep4_dt202410151118.txt,0.6,0.59,0.26,246.0,[0.4  0.59 0.78],55121.0,0.0,sync_js_rep4
"80.0%
(n=250)",80.0,40.0,"80.0%
(n=250)",80.0,40.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API250_rep5_dt202410151124.txt,0.61,0.61,0.26,244.0,[0.42 0.61 0.8 ],53398.0,0.0,sync_js_rep5
,,,,,,,,,,,,,,,
"81.6%
(n=250)",81.6,39.0,"81.6%
(n=250)",81.6,39.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch670e493dbacc8190a39bd001c1f72d6b_dt202410151251.csv,0.6,0.61,0.26,247.0,[0.4  0.61 0.76],54592.0,0.0,async_js
"81.2%
(n=250)",81.2,39.0,"81.2%
(n=250)",81.2,39.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch670e49abc8ac81908590f00a2e248014_dt202410151253.csv,0.6,0.61,0.25,250.0,[0.4  0.61 0.77],55814.0,0.0,async_js_please
"80.8%
(n=250)",80.8,39.0,"80.8%
(n=250)",80.8,39.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch670e49b07d388190b3cd6f619f824a3b_dt202410151253.csv,0.6,0.6,0.25,246.0,[0.4  0.6  0.77],54509.0,0.0,async_js_please_rep
"79.2%
(n=250)",79.2,41.0,"79.2%
(n=250)",79.2,41.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch670e49446d888190a86e428fb46406c5_dt202410151251.csv,0.59,0.58,0.25,248.0,[0.4  0.58 0.76],55576.0,0.0,async_js_rep1
"81.2%
(n=250)",81.2,39.0,"81.2%
(n=250)",81.2,39.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch670e4949656881908d97b5142449b51f_dt202410151251.csv,0.6,0.6,0.26,246.0,[0.39 0.6  0.79],53917.0,0.0,async_js_rep2
"80.8%
(n=250)",80.8,39.0,"80.8%
(n=250)",80.8,39.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch670e494e783081909e34f78775804f08_dt202410151251.csv,0.61,0.62,0.26,247.0,[0.41 0.62 0.79],54974.0,0.0,async_js_rep3
"80.0%
(n=250)",80.0,40.0,"80.0%
(n=250)",80.0,40.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch670e49543298819085d1b0b2325ca876_dt202410151252.csv,0.6,0.61,0.25,245.0,[0.41 0.61 0.77],54513.5,0.0,async_js_rep4
"81.2%
(n=250)",81.2,39.0,"81.2%
(n=250)",81.2,39.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batch670e4bc1b1cc8190a3eeff102b680361_dt202410151302.csv,0.59,0.58,0.26,248.0,[0.39 0.58 0.79],54720.0,0.0,async_js_rep5
,,,,,,,,,,,,,,,
"77.91%
(n=249)",77.91,42.0,"77.91%
(n=249)",77.91,42.0,249.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_formatinline_batch67164db65fd0819097f31ac6c55e8caf_dt202410211448.csv,0.52,0.51,0.24,213.0,[0.31 0.51 0.69],38931.0,0.0,inline
"79.52%
(n=249)",79.52,40.0,"79.52%
(n=249)",79.52,40.0,249.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_formatinline_batch67164dbbe8b081908bf02a4d2b6e2f65_dt202410211449.csv,0.52,0.5,0.25,211.0,[0.32 0.5  0.71],38532.5,0.0,inline_rep
"81.6%
(n=250)",81.6,39.0,"81.6%
(n=250)",81.6,39.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_formatjson_batch67164d8ded048190badb01069142cbda_dt202410211448.csv,0.6,0.61,0.26,248.0,[0.41 0.61 0.78],56043.5,0.0,json
"80.0%
(n=250)",80.0,40.0,"80.0%
(n=250)",80.0,40.0,250.0,gpt_clean_output_nspb50_chunkingno_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_formatjson_batch67164da1e4ac81909991913126e9eecb_dt202410211448.csv,0.61,0.63,0.25,246.0,[0.41 0.63 0.79],54614.5,0.0,json_rep
,,,,,,,,,,,,,,,
"79.76%
(n=499)",79.76,40.0,"79.76%
(n=499)",79.76,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API499_normal_dt202407191713.txt,0.51,0.48,0.24,424.0,[0.31 0.48 0.67],156136.5,0.0,machine
"83.17%
(n=499)",83.17,37.0,"83.17%
(n=499)",83.17,37.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API499_normal_dt202503041426.txt,0.49,0.45,0.24,426.0,[0.29 0.45 0.66],153525.5,0.0,machine_better_prompt
"78.0%
(n=250)",78.0,42.0,"78.0%
(n=250)",78.0,42.0,250.0,GH_collect_output_here.txt,0.51,0.5,0.24,244.0,[0.3 0.5 0.7],51196.0,0.0,man
"88.0%
(n=250)",88.0,33.0,"88.0%
(n=250)",88.0,33.0,250.0,GH_combined_output.txt,0.5,0.49,0.24,246.0,[0.29 0.49 0.69],52692.0,0.0,man_better_prompt
